t,accCmpX,accCmpY,accCmpZ
561,6.41888,-6.58263,-11.5828
562,5.52712,-6.60128,-12.3956
563,4.55118,-6.0734,-12.6973
564,3.50895,-5.01403,-12.5001
565,4.05994,-5.00163,-14.9458
566,4.61961,-4.93025,-15.3616
567,6.48257,-1.47826,-15.141
568,7.43382,-2.06452,-17.6759
569,8.19341,-2.17225,-17.8219
570,8.7552,-1.84769,-17.5418
571,8.45428,-2.5325,-16.0646
572,7.9989,-3.42905,-15.2345
573,7.45339,-4.35981,-14.3653
574,8.25043,-4.08861,-11.5949
575,8.82298,-2.7722,-7.83165
576,8.29134,-4.11501,-8.45497
577,7.6095,-5.2817,-8.63993
578,7.49683,-5.67096,-11.7269
579,7.37333,-4.75698,-14.6495
580,7.1711,-1.78739,-17.7767
581,6.75904,2.19783,-17.2809
582,6.31554,5.85328,-14.448
583,4.54227,3.16226,-15.1613
584,2.73317,-1.77039,-13.635
585,5.28762,-7.94054,-9.34067
586,7.31383,0.36042,-2.39365
587,8.72338,3.58022,-10.0199
588,8.98188,2.74313,-4.77131
589,9.20035,1.43951,-1.40839
590,9.32631,0.519216,0.644603
591,9.35946,-0.370162,-0.0566756
592,9.16371,-1.39856,-1.31584
593,8.8867,-2.8171,-3.76518
594,8.47684,-3.49388,-5.75247
595,8.79816,-1.90592,-17.2283
596,9.05477,2.38169,-14.1569
597,9.26916,1.02414,-1.24173
598,8.95224,-1.9517,-2.72808
599,8.75764,-2.90662,-14.2252
600,9.2114,-2.03517,-9.87486
601,9.38337,-0.411307,-4.10318
602,9.30872,-0.0593766,-1.4234
603,9.06685,-0.367711,-0.617997
604,7.4063,-0.855999,-2.27857
605,8.11236,-5.24338,-9.72628
606,8.65289,-2.84736,-19.0227
607,7.08265,-5.11166,-14.4922
608,5.106,-7.64648,-11.9468
609,2.70453,-9.33454,-10.2476
610,9.24938,-2.1601,-11.4747
611,6.60622,6.85679,-11.5156
612,5.23011,7.10574,-8.50485
613,3.55179,3.22108,-7.66965
614,1.72242,-3.09814,-9.36024
615,3.76466,-4.02391,-6.51671
616,5.69786,-4.57449,-5.41075
617,5.08682,-0.426868,-4.43789
618,2.99728,-6.15671,-8.26238
619,0.824615,-9.51369,-10.4966
620,-1.40758,-8.08329,-10.0142
621,0.534081,-9.60141,-10.4856
622,2.36596,-8.90571,-9.61599
623,4.10134,-6.3359,-7.47942
624,2.87421,1.33571,-6.24002
625,1.50579,8.64302,-8.46314
626,0.080677,8.65911,-9.2809
627,-0.683389,9.46303,-10.4016
628,-1.43486,9.7427,-10.4761
629,-0.511415,9.684,-9.12677
630,0.481221,8.74555,-9.55926
631,0.585028,7.34578,-9.56849
632,0.60683,5.85929,-9.68084
633,0.62532,4.132,-9.77134
634,-0.713842,-2.73118,-9.18724
635,-2.00251,-8.06442,-8.71761
636,-3.61393,-7.01671,-7.9386
637,-5.19114,-5.90818,-6.61211
638,-3.44621,-5.00536,-8.94395
639,-1.47013,-3.31554,-10.4545
640,0.564347,-1.19288,-12.3984
641,-2.11523,-8.36258,-7.98577
642,-4.77488,-7.58033,-11.0512
643,-7.07074,-0.981075,-15.8681
644,-7.76237,-4.91901,-15.7886
645,-6.24883,-7.58923,-10.1425
646,-4.47262,-7.60593,-7.65834
647,-2.48227,-4.42368,-7.70431
648,-2.15512,-6.70917,-8.72468
649,-1.89122,-8.45699,-9.36212
650,-1.68542,-7.60225,-9.34986
651,-1.57483,-6.47601,-9.20571
652,-1.46156,-5.1417,-9.12675
653,-1.17164,-9.38901,-9.03832
654,-0.805491,-8.1238,-9.68642
655,-2.11695,-1.80643,-11.0997
656,-3.47678,5.43525,-11.7635
657,-4.7679,8.37309,-9.38658
658,-2.91143,8.89029,-9.27213
659,-0.98738,7.9724,-9.41675
660,0.984994,5.76431,-10.7215
661,2.24743,8.44214,-8.84794
662,3.55151,-2.73813,-6.45881
663,4.36283,-0.611651,-5.7448
664,5.1052,1.2787,-5.04301
665,7.6268,4.97245,-5.07053
666,9.25429,3.36314,-10.4086
667,9.75762,0.0747461,-16.9019
668,8.51681,3.33428,-4.37864
669,5.58912,-4.42872,-5.23075
670,1.34027,-8.27602,-10.9024
671,0.664534,-7.65711,-11.5683
672,0.220817,-9.1886,-8.76013
673,-0.157683,-3.17452,-8.70667
674,0.638361,2.04972,-8.33566
675,1.30456,6.75211,-8.0765
676,1.94635,9.36909,-8.64969
677,5.21511,3.98112,-4.93122
678,7.76589,-1.64912,-2.17888
679,8.69521,3.5808,-4.83248
680,9.27803,0.962188,-16.9422
681,9.46665,0.0795464,-13.5486
682,9.48999,0.388664,-6.69911
683,9.44401,0.455605,-0.682788
684,8.97172,1.07382,-0.293833
685,8.14174,0.718556,-0.585016
686,6.70016,1.95676,-2.8949
687,5.06683,3.35067,-4.71333
688,3.12766,5.67561,-6.06035
689,0.916575,7.63886,-8.03534
690,-1.3676,8.90015,-9.30701
691,-3.02008,7.27497,-10.4778
692,-4.47304,5.24451,-12.0761
693,-5.82768,3.01607,-13.7987
694,-7.20616,7.06119,-9.85369
695,-8.40119,2.05709,-2.47378
696,-9.32177,2.66249,-2.44229
697,-9.95124,2.17286,-4.20207
698,-10.3824,0.369532,-3.6733
699,-10.1806,-1.518,-3.41574
700,-9.41699,-3.17383,-3.54813
701,-8.20443,-5.84073,-6.79261
702,-6.7633,-7.7669,-9.23127
703,-3.48485,-8.98223,-8.96303
704,0.101219,-8.35453,-10.2434
705,3.62253,-6.16747,-12.9604
706,6.11652,-4.4899,-14.5176
707,8.05884,-2.82834,-16.1883
708,9.11935,-0.118755,-19.233
709,9.34411,-0.0095875,-18.9933
710,9.06757,-1.13797,-18.8492
711,8.5145,-2.50086,-17.489
712,7.69013,-4.12476,-15.8684
713,7.73779,-3.77153,-16.2279
714,7.84155,-3.30917,-16.8052
715,7.47088,-1.0504,-18.0442
716,7.15221,1.87885,-17.4504
717,7.83659,4.58538,-8.14403
718,8.43436,-0.165928,-0.284923
719,8.87113,-2.71193,-7.20836
720,9.04943,1.12485,-5.39152
721,7.92688,3.75431,-4.29811
722,4.69673,0.161176,-4.08632
723,0.109248,-7.6771,-9.00099
724,-4.67942,-7.95081,-8.02613
725,-8.48609,-1.17366,-1.87047
726,-9.98779,-0.803788,2.07779
727,-10.2657,0.789182,1.76263
728,-9.19949,1.04187,-1.72184
729,-5.46782,7.52088,-8.49931
730,-1.53404,5.80067,-7.9057
731,2.6538,0.0774272,-11.8646
