t,velX,velY,velZ,velAir,vel
383,0.807389,-0.0736067,-1.40487,17.5441,17.5441
384,0.95549,0.0482423,-0.222088,19.5718,19.5718
385,0.874277,0.348705,-1.48396,18.6119,18.6119
386,0.588875,-0.745184,-0.91872,16.2162,16.2162
387,0.160687,0.948125,-0.970895,18.861,18.861
388,-0.313046,-0.743103,-0.842743,13.9999,13.9999
389,-0.314942,-0.721308,-0.992927,13.8307,13.8307
390,-0.327565,0.393294,-1.08613,16.0664,16.0664
391,-0.346863,0.913987,-0.748175,18.0718,18.0718
392,-0.372748,0.0713545,-0.454214,15.9779,15.9779
393,0.073467,0.338963,-0.974397,16.8108,16.8108
394,0.50044,0.489562,-1.3108,17.9493,17.9493
395,0.817859,0.404642,-1.41433,18.6057,18.6057
396,0.958,0.0824654,-1.27654,18.4776,18.4776
397,0.890589,-0.354539,-1.01261,17.6966,17.6966
398,0.629395,-0.72132,-0.801037,16.5148,16.5148
399,0.75138,-0.599352,-0.850841,17.0233,17.0233
400,0.844052,-0.463811,-0.900658,17.4808,17.4808
401,0.912469,-0.312477,-0.960642,17.8923,17.8923
402,0.954617,-0.151595,-1.02546,18.2471,18.2471
403,0.898498,-0.228011,-0.521597,18.4785,18.4785
404,0.856928,-0.0652055,-0.195497,19.0795,19.0795
405,0.802111,0.284328,-0.38422,19.3072,19.3072
406,0.734852,0.589668,-0.921853,19.2275,19.2275
407,0.656227,0.585918,-1.4507,18.5548,18.5548
408,0.34478,0.117864,-1.49923,16.4585,16.4585
409,-0.0401526,-0.668857,-1.12136,14.3569,14.3569
410,-0.422596,-0.895381,-1.15621,13.162,13.162
411,-0.741716,-0.393608,-1.71183,12.9016,12.9016
412,-0.946764,0.08529,-2.02336,13.5118,13.5118
413,-1.00525,-0.0450503,-1.54121,13.4575,13.4575
414,-0.801914,-0.58773,-1.13947,13.0112,13.0112
415,-0.327847,-0.816303,-1.01781,13.6326,13.6326
416,0.253321,-0.541976,-1.38446,15.0393,15.0393
417,0.737417,-0.091841,-1.91063,16.9455,16.9455
418,0.954997,0.0322936,-2.09373,17.8759,17.8759
419,0.918159,0.128468,-1.81847,18.0731,18.0731
420,0.860794,0.287415,-1.64013,18.323,18.323
421,0.777147,0.473039,-1.43084,18.6351,18.6351
422,0.669872,0.652617,-1.2233,18.9506,18.9506
423,0.542499,0.793856,-1.04963,19.1658,19.1658
424,0.61703,0.701514,-0.963195,19.1647,19.1647
425,0.681355,0.526145,-0.711855,19.1161,19.1161
426,0.739858,0.301847,-0.488983,19.0138,19.0138
427,0.792045,0.0758716,-0.341986,18.9063,18.9063
428,0.837542,-0.109219,-0.307318,18.7676,18.7676
429,0.371691,-0.194141,-0.264431,17.3219,17.3219
430,-0.258082,-0.300313,-0.85434,14.8371,14.8371
431,-0.792083,-0.217296,-1.30833,13.5701,13.5701
432,-1.00826,0.0747255,-1.44412,13.8485,13.8485
433,-0.816718,0.468314,-1.23948,15.4102,15.4102
434,-0.750606,-0.135109,-0.496624,14.8786,14.8786
435,0.475654,0.737934,-0.980513,18.8816,18.8816
436,0.905703,0.280358,-0.842468,19.0936,19.0936
437,-0.143585,-0.278703,-1.09519,14.8246,14.8246
438,-1.00007,-0.0571915,-2.02062,13.0674,13.0674
439,-0.959709,-0.217362,-1.77573,12.9087,12.9087
440,-0.87362,-0.338717,-1.69551,12.8268,12.8268
441,-0.746917,-0.452069,-1.58479,12.885,12.885
