timestamp(ms),GPS_RAW_INT.vel
1210709.8220214844,2620
1210809.8220214844,2616
1210909.8220214844,2616
1211009.8220214844,2616
1211109.8220214844,2619
1211209.8220214844,2619
1211309.8220214844,2611
1211409.8220214844,2611
1211509.8220214844,2611
1211609.8220214844,2606
1211709.8220214844,2606
1211809.8220214844,2602
1211909.8220214844,2602
1212009.8220214844,2602
1212109.8220214844,2594
1212209.8220214844,2594
1212309.8220214844,2591
1212409.8220214844,2591
1212509.8220214844,2591
1212609.8220214844,2591
1212709.8220214844,2591
1212809.8220214844,2591
1212909.8220214844,2591
1213009.8220214844,2591
1213109.8220214844,2574
1213209.8220214844,2574
1213309.8220214844,2584
1213409.8220214844,2584
1213509.8220214844,2584
1213609.8220214844,2577
1213709.8220214844,2577
1213809.8220214844,2583
1213909.8220214844,2583
1214009.8220214844,2583
1214109.8220214844,2587
1214209.8220214844,2587
1214309.8220214844,2589
1214409.8220214844,2589
1214509.8220214844,2589
1214609.8220214844,2592
1214709.8220214844,2592
1214809.8220214844,2590
1214909.8220214844,2590
1215009.8220214844,2590
1215109.8220214844,2599
1215209.8220214844,2599
1215309.8220214844,2604
1215409.8220214844,2604
1215509.8220214844,2607
1215609.8220214844,2607
1215709.8220214844,2607
1215809.8220214844,2616
1215909.8220214844,2616
1216009.8220214844,2616
1216109.8220214844,2619
1216209.8220214844,2619
1216309.8220214844,2619
1216409.8220214844,2619
1216509.8220214844,2619
1216609.8220214844,2616
1216709.8220214844,2616
1216809.8220214844,2618
1216909.8220214844,2618
1217009.8220214844,2618
1217109.8220214844,2613
1217209.8220214844,2613
1217309.8220214844,2613
1217409.8220214844,2613
1217509.8220214844,2613
1217609.8220214844,2610
1217709.8220214844,2610
1217809.8220214844,2611
1217909.8220214844,2611
1218009.8220214844,2611
1218109.8220214844,2606
1218209.8220214844,2606
1218309.8220214844,2604
1218409.8220214844,2604
1218509.8220214844,2604
1218609.8220214844,2598
1218709.8220214844,2598
1218809.8220214844,2592
1218909.8220214844,2592
1219009.8220214844,2592
1219109.8220214844,2595
1219209.8220214844,2595
1219309.8220214844,2589
1219409.8220214844,2589
1219509.8220214844,2584
1219609.8220214844,2584
1219709.8220214844,2584
1219809.8220214844,2586
1219909.8220214844,2586
1220009.8220214844,2584
1220109.8220214844,2584
1220209.8220214844,2584
1220309.8220214844,2573
1220409.8220214844,2573
1220509.8220214844,2569
1220609.8220214844,2569
1220709.8220214844,2569
1220809.8220214844,2568
1220909.8220214844,2568
1221009.8220214844,2568
1221109.8220214844,2572
1221209.8220214844,2572
1221309.8220214844,2572
1221409.8220214844,2573
1221509.8220214844,2578
1221609.8220214844,2578
1221709.8220214844,2578
1221809.8220214844,2573
1221909.8220214844,2573
1222009.8220214844,2573
1222109.8220214844,2568
1222209.8220214844,2568
1222309.8220214844,2573
1222409.8220214844,2573
1222509.8220214844,2573
1222609.8220214844,2570
1222709.8220214844,2570
1222809.8220214844,2575
1222909.8220214844,2575
1223009.8220214844,2579
1223109.8220214844,2579
1223209.8220214844,2579
1223309.8220214844,2579
1223409.8220214844,2572
1223509.8220214844,2572
1223609.8220214844,2560
1223709.8220214844,2560
1223809.8220214844,2548
1223909.8220214844,2548
1224009.8220214844,2548
1224109.8220214844,2542
1224209.8220214844,2542
1224309.8220214844,2532
1224409.8220214844,2532
1224509.8220214844,2522
1224609.8220214844,2522
1224709.8220214844,2524
1224809.8220214844,2524
1224909.8220214844,2524
1225009.8220214844,2529
1225109.8220214844,2529
1225209.8220214844,2529
1225309.8220214844,2531
1225409.8220214844,2531
1225509.8220214844,2532
1225609.8220214844,2532
1225709.8220214844,2532
1225809.8220214844,2531
1225909.8220214844,2531
1226009.8220214844,2531
1226109.8220214844,2531
1226209.8220214844,2531
1226309.8220214844,2536
1226409.8220214844,2536
1226509.8220214844,2533
1226609.8220214844,2533
1226709.8220214844,2543
1226809.8220214844,2543
1226909.8220214844,2543
1227009.8220214844,2543
1227109.8220214844,2543
1227209.8220214844,2546
1227309.8220214844,2546
1227409.8220214844,2546
1227509.8220214844,2564
1227609.8220214844,2564
1227709.8220214844,2561
1227809.8220214844,2561
1227909.8220214844,2561
1228009.8220214844,2572
1228109.8220214844,2572
1228209.8220214844,2575
1228309.8220214844,2575
1228409.8220214844,2575
1228509.8220214844,2583
1228609.8220214844,2583
1228709.8220214844,2587
1228809.8220214844,2587
1228909.8220214844,2587
1229009.8220214844,2587
1229109.8220214844,2599
1229209.8220214844,2599
1229309.8220214844,2597
1229409.8220214844,2597
1229509.8220214844,2607
1229609.8220214844,2607
1229709.8220214844,2610
1229809.8220214844,2610
1229909.8220214844,2610
1230009.8220214844,2617
1230109.8220214844,2617
1230209.8220214844,2614
1230309.8220214844,2614
1230409.8220214844,2614
1230509.8220214844,2610
1230609.8220214844,2610
1230709.8220214844,2610
1230809.8220214844,2610
1230909.8220214844,2610
1231009.8220214844,2608
1231109.8220214844,2608
1231209.8220214844,2602
1231309.8220214844,2602
1231409.8220214844,2602
1231509.8220214844,2587
1231609.8220214844,2587
1231709.8220214844,2585
1231809.8220214844,2585
1231909.8220214844,2585
1232009.8220214844,2587
1232109.8220214844,2587
1232209.8220214844,2579
1232309.8220214844,2579
1232409.8220214844,2579
1232509.8220214844,2572
1232609.8220214844,2572
1232709.8220214844,2572
1232809.8220214844,2572
1232909.8220214844,2572
1233009.8220214844,2571
1233109.8220214844,2571
1233209.8220214844,2567
1233309.8220214844,2567
1233409.8220214844,2567
1233509.8220214844,2561
1233609.8220214844,2561
1233709.8220214844,2561
1233809.8220214844,2562
1233909.8220214844,2562
1234009.8220214844,2563
1234109.8220214844,2563
1234209.8220214844,2563
1234309.8220214844,2560
1234409.8220214844,2560
1234509.8220214844,2560
1234609.8220214844,2560
1234709.8220214844,2557
1234809.8220214844,2557
1234909.8220214844,2557
1235009.8220214844,2548
1235109.8220214844,2548
1235209.8220214844,2554
1235309.8220214844,2554
1235409.8220214844,2554
1235509.8220214844,2548
1235609.8220214844,2548
1235709.8220214844,2544
1235809.8220214844,2544
1235909.8220214844,2544
1236009.8220214844,2545
1236109.8220214844,2545
1236209.8220214844,2545
1236309.8220214844,2554
1236409.8220214844,2554
1236509.8220214844,2554
1236609.8220214844,2564
1236709.8220214844,2564
1236809.8220214844,2571
1236909.8220214844,2571
1237009.8220214844,2573
1237109.8220214844,2573
1237209.8220214844,2573
1237309.8220214844,2567
1237409.8220214844,2567
1237509.8220214844,2568
1237609.8220214844,2568
1237709.8220214844,2568
1237809.8220214844,2576
1237909.8220214844,2576
1238009.8220214844,2575
1238109.8220214844,2575
1238209.8220214844,2575
1238309.8220214844,2577
1238409.8220214844,2577
1238509.8220214844,2578
1238609.8220214844,2578
1238709.8220214844,2578
1238809.8220214844,2573
1238909.8220214844,2573
1239009.8220214844,2560
1239109.8220214844,2560
1239209.8220214844,2560
1239309.8220214844,2560
1239409.8220214844,2560
1239509.8220214844,2560
1239609.8220214844,2541
1239709.8220214844,2541
